prod_feat.0,prod_feat.1,prod_feat.2,prod_feat.3
User-friendly,analyzing,Devolved,Focused
Multi-tiered,Diverse,leverage,hardware
moratorium,hierarchy,knowledge base,migration
alliance,Focused,Programmable,well-modulated
access,stable,client-server,Self-enabling
web-enabled,superstructure,utilisation,Realigned
real-time,Multi-channelled,real-time,knowledge base
client-server,database,zero tolerance,stable
Programmable,composite,Persistent,groupware
even-keeled,archive,Advanced,concept
complexity,algorithm,Polarised,extranet
3rd generation,tertiary,emulation,uniform
zero administration,workforce,application,firmware
6th generation,attitude,project,User-friendly
Cross-platform,Expanded,productivity,forecast
Cross-platform,Distributed,Operative,maximized
help-desk,Profound,service-desk,strategy
analyzing,archive,bi-directional,open architecture
protocol,product,open system,model
protocol,Progressive,structure,artificial intelligence
Sharable,national,client-driven,Persevering
modular,logistical,Integrated,composite
Business-focused,Visionary,productivity,collaboration
approach,help-desk,synergy,mission-critical
encryption,system engine,alliance,database
Phased,budgetary management,global,eco-centric
Advanced,explicit,multi-state,Phased
Synergistic,mission-critical,didactic,circuit
toolset,3rd generation,instruction set,stable
moratorium,radical,Centralized,moratorium
incremental,dynamic,incremental,fault-tolerant
actuating,local area network,radical,24 hour
object-oriented,matrices,function,paradigm
system engine,function,Configurable,Compatible
De-engineered,Graphic Interface,Front-line,methodology
artificial intelligence,analyzing,contingency,Customizable
groupware,human-resource,optimizing,migration
hub,Right-sized,Profound,Seamless
Intuitive,upward-trending,Multi-lateral,multimedia
monitoring,strategy,Versatile,explicit
Cross-platform,flexibility,multi-tasking,eco-centric
tangible,Configurable,asynchronous,Sharable
Compatible,non-volatile,structure,matrices
attitude,real-time,mobile,intangible
methodology,standardization,structure,Re-engineered
productivity,Operative,scalable,full-range
challenge,conglomeration,Realigned,coherent
Down-sized,Compatible,archive,user-facing
6th generation,Secured,optimal,multimedia
info-mediaries,24/7,Programmable,migration
content-based,encryption,strategy,product
reciprocal,needs-based,Integrated,dynamic
Enhanced,Decentralized,encryption,definition
Adaptive,Expanded,flexibility,5th generation
neutral,needs-based,system-worthy,zero defect
Profound,Digitized,Business-focused,Persistent
array,User-friendly,hub,Organized
software,circuit,zero tolerance,grid-enabled
Function-based,structure,Switchable,Cloned
orchestration,Multi-tiered,Advanced,migration
parallelism,Customer-focused,Object-based,Reduced
product,encompassing,Sharable,task-force
static,empowering,Persevering,intermediate
Assimilated,executive,analyzer,Multi-channelled
Assimilated,Multi-channelled,Pre-emptive,analyzer
policy,Open-source,secured line,Exclusive
forecast,Switchable,utilisation,methodology
local,Optimized,Grass-roots,upward-trending
array,secondary,asymmetric,Horizontal
system engine,moratorium,interactive,well-modulated
Organic,Intuitive,Open-source,Right-sized
Visionary,Object-based,matrices,Automated
composite,background,system engine,4th generation
system engine,interactive,Configurable,array
policy,non-volatile,attitude,Upgradable
high-level,Team-oriented,multimedia,client-server
Digitized,uniform,complexity,time-frame
frame,Universal,attitude,national
intangible,Customizable,Streamlined,flexibility
policy,matrices,User-centric,Mandatory
user-facing,Extended,Customer-focused,holistic
Ergonomic,algorithm,solution,solution
Extended,Cross-platform,firmware,De-engineered
Persevering,Multi-channelled,Diverse,solution
focus group,success,focus group,array
homogeneous,intangible,array,Enterprise-wide
synergy,actuating,exuding,Synergistic
mobile,Organic,website,Phased
neural-net,attitude-oriented,Triple-buffered,Triple-buffered
Reverse-engineered,needs-based,3rd generation,logistical
upward-trending,Mandatory,global,task-force
database,exuding,Cross-platform,utilisation
Adaptive,attitude-oriented,Team-oriented,human-resource
superstructure,model,Persevering,extranet
bandwidth-monitored,radical,coherent,cohesive
upward-trending,Reverse-engineered,Streamlined,Team-oriented
De-engineered,Re-engineered,circuit,Public-key
Front-line,Progressive,Virtual,Advanced
national,workforce,national,Sharable
asymmetric,focus group,Triple-buffered,mission-critical
reciprocal,Monitored,zero tolerance,methodical
structure,tertiary,knowledge user,global
Vision-oriented,software,asymmetric,array
Seamless,encompassing,paradigm,concept
archive,Total,budgetary management,matrix
Fundamental,complexity,encoding,hub
hardware,Profit-focused,software,Graphical User Interface
ability,task-force,Re-contextualized,secured line
leverage,info-mediaries,installation,Multi-lateral
Customizable,Implemented,Grass-roots,array
capacity,Total,process improvement,Reverse-engineered
object-oriented,moderator,database,Monitored
User-friendly,strategy,local,bi-directional
migration,Quality-focused,data-warehouse,leverage
Organized,bifurcated,approach,stable
internet solution,groupware,Innovative,Extended
adapter,zero defect,budgetary management,adapter
Visionary,productivity,executive,asynchronous
even-keeled,neutral,User-friendly,Digitized
matrices,Advanced,24 hour,value-added
bandwidth-monitored,access,methodology,Networked
toolset,responsive,challenge,Networked
Expanded,Versatile,knowledge base,hub
logistical,multi-tasking,Programmable,Fundamental
standardization,Synergized,toolset,Reactive
Proactive,Vision-oriented,intangible,Business-focused
workforce,encryption,local,complexity
human-resource,disintermediate,homogeneous,Profit-focused
firmware,5th generation,global,implementation
disintermediate,client-driven,internet solution,Progressive
open architecture,Devolved,encoding,Adaptive
middleware,24/7,capacity,Vision-oriented
Configurable,Customizable,next generation,Face to face
5th generation,reciprocal,strategy,asymmetric
executive,bi-directional,attitude-oriented,installation
Cloned,multi-state,Fundamental,internet solution
Optimized,Integrated,systemic,neural-net
archive,Networked,Reactive,dedicated
Focused,process improvement,Stand-alone,success
utilisation,initiative,portal,analyzer
Seamless,functionalities,Reactive,discrete
dynamic,grid-enabled,software,productivity
Ergonomic,Organic,Up-sized,foreground
neutral,architecture,Reduced,Operative
Operative,Mandatory,capability,encompassing
Distributed,dedicated,core,monitoring
middleware,system engine,Total,Reduced
Monitored,protocol,solution-oriented,service-desk
firmware,database,3rd generation,Quality-focused
Intuitive,client-driven,Face to face,Ameliorated
Customer-focused,heuristic,secured line,Centralized
executive,national,implementation,matrices
encoding,complexity,national,time-frame
modular,superstructure,Synergistic,matrix
4th generation,application,intranet,foreground
internet solution,Optional,extranet,web-enabled
Reverse-engineered,secondary,access,Persevering
Diverse,neutral,Expanded,well-modulated
regional,maximized,Vision-oriented,systemic
array,help-desk,system engine,reciprocal
foreground,Polarised,ability,budgetary management
optimal,Focused,Switchable,parallelism
Quality-focused,architecture,context-sensitive,client-server
Synergistic,demand-driven,process improvement,Profound
Pre-emptive,adapter,clear-thinking,hybrid
solution-oriented,portal,Secured,Optional
Decentralized,3rd generation,focus group,24/7
firmware,homogeneous,system engine,secondary
empowering,Graphical User Interface,support,Intuitive
bi-directional,high-level,Right-sized,Proactive
Visionary,eco-centric,Switchable,local area network
optimizing,Universal,radical,methodology
Triple-buffered,Ameliorated,implementation,Upgradable
structure,foreground,analyzer,time-frame
initiative,knowledge user,middleware,tertiary
secondary,service-desk,circuit,De-engineered
leading edge,Intuitive,Diverse,Grass-roots
toolset,Distributed,Down-sized,Multi-channelled
Phased,Centralized,transitional,Grass-roots
high-level,concept,maximized,Intuitive
logistical,transitional,Stand-alone,systemic
task-force,systemic,Right-sized,process improvement
non-volatile,database,exuding,bifurcated
homogeneous,parallelism,mission-critical,non-volatile
intangible,multimedia,maximized,multi-state
systematic,data-warehouse,Phased,Ergonomic
fresh-thinking,analyzing,encryption,time-frame
Ergonomic,access,Progressive,structure
multi-state,hub,approach,grid-enabled
intermediate,analyzing,knowledge user,open system
frame,Distributed,project,Synchronised
Multi-layered,directional,reciprocal,Managed
Graphical User Interface,even-keeled,zero administration,didactic
Reduced,didactic,solution,well-modulated
knowledge user,help-desk,ability,concept
artificial intelligence,cohesive,even-keeled,foreground
superstructure,context-sensitive,firmware,matrices
eco-centric,modular,Fully-configurable,framework
5th generation,logistical,secondary,contingency
Enhanced,Public-key,initiative,Grass-roots
encryption,Enterprise-wide,capability,Front-line
analyzer,monitoring,mission-critical,hybrid
knowledge base,Future-proofed,Automated,bandwidth-monitored
installation,24/7,Implemented,Ergonomic
archive,definition,Reactive,Visionary
system engine,radical,maximized,secured line
Diverse,hardware,intranet,Cross-group
standardization,Team-oriented,throughput,Streamlined
Customer-focused,tertiary,Digitized,architecture
conglomeration,5th generation,capacity,matrices
productivity,approach,demand-driven,Team-oriented
executive,bi-directional,Self-enabling,Customizable
groupware,bifurcated,software,leading edge
scalable,Reverse-engineered,tertiary,Reactive
tangible,knowledge base,task-force,open system
circuit,context-sensitive,knowledge base,Customer-focused
framework,monitoring,encompassing,Multi-channelled
Distributed,Programmable,standardization,Optional
Enhanced,Digitized,3rd generation,productivity
functionalities,didactic,Robust,attitude-oriented
3rd generation,adapter,hardware,motivating
Adaptive,modular,national,Up-sized
bi-directional,Reactive,Realigned,architecture
hardware,4th generation,Persistent,Expanded
Configurable,clear-thinking,contingency,reciprocal
user-facing,utilisation,grid-enabled,attitude-oriented
optimizing,Inverse,5th generation,Organic
Inverse,Secured,complexity,protocol
utilisation,composite,Streamlined,maximized
5th generation,Graphical User Interface,moratorium,artificial intelligence
composite,concept,Persistent,Sharable
Innovative,Fundamental,local area network,attitude-oriented
Implemented,multimedia,productivity,complexity
Enhanced,hub,emulation,maximized
methodology,infrastructure,system engine,mission-critical
encompassing,interactive,encompassing,Fully-configurable
regional,emulation,secondary,data-warehouse
Intuitive,Proactive,access,Fundamental
Virtual,analyzer,task-force,structure
Proactive,pricing structure,Graphical User Interface,systematic
Decentralized,portal,Self-enabling,upward-trending
uniform,methodical,leading edge,Progressive
system engine,secondary,moratorium,grid-enabled
Phased,Operative,Multi-channelled,well-modulated
demand-driven,multi-tasking,motivating,didactic
foreground,Balanced,model,even-keeled
artificial intelligence,superstructure,demand-driven,non-volatile
zero tolerance,bandwidth-monitored,Polarised,client-driven
Switchable,solution,info-mediaries,structure
Versatile,De-engineered,solution-oriented,process improvement
Versatile,Versatile,Automated,intermediate
conglomeration,productivity,composite,24/7
Optional,non-volatile,uniform,approach
Multi-channelled,Reverse-engineered,Ameliorated,6th generation
exuding,Centralized,Stand-alone,architecture
5th generation,systematic,process improvement,Adaptive
clear-thinking,Operative,Ameliorated,policy
multi-state,needs-based,multi-state,Networked
local,projection,Implemented,cohesive
Cloned,actuating,reciprocal,Cross-platform
zero tolerance,Customer-focused,interactive,adapter
capability,Cloned,local,User-friendly
next generation,capability,access,Ameliorated
stable,Robust,exuding,bifurcated
algorithm,clear-thinking,data-warehouse,Versatile
functionalities,stable,Implemented,website
success,systemic,contextually-based,Open-architected
Versatile,full-range,data-warehouse,exuding
zero defect,contingency,Re-engineered,Managed
internet solution,heuristic,Virtual,Realigned
Proactive,Front-line,Re-contextualized,Public-key
Reverse-engineered,exuding,bi-directional,pricing structure
data-warehouse,mobile,groupware,Re-contextualized
flexibility,Cloned,Synergistic,client-server
object-oriented,object-oriented,Graphical User Interface,forecast
attitude,structure,open system,national
concept,moratorium,Front-line,even-keeled
Secured,Devolved,hybrid,Networked
analyzing,6th generation,Phased,Business-focused
instruction set,impactful,Customizable,reciprocal
superstructure,capability,collaboration,extranet
Sharable,Networked,model,Stand-alone
Operative,alliance,customer loyalty,migration
regional,mobile,leverage,optimal
utilisation,Stand-alone,reciprocal,secondary
tertiary,Inverse,ability,even-keeled
24/7,Networked,Diverse,high-level
incremental,Reverse-engineered,well-modulated,internet solution
Self-enabling,well-modulated,tangible,hardware
Upgradable,Face to face,Managed,Mandatory
Polarised,workforce,intranet,local area network
even-keeled,budgetary management,full-range,discrete
Visionary,Vision-oriented,impactful,open architecture
Grass-roots,zero defect,scalable,Seamless
Front-line,Reverse-engineered,Function-based,needs-based
Cross-platform,holistic,circuit,leverage
holistic,scalable,Persistent,systematic
well-modulated,local,open architecture,moratorium
access,fault-tolerant,Implemented,collaboration
Versatile,collaboration,Universal,Fundamental
methodology,moratorium,portal,Organic
product,Mandatory,system engine,Customizable
Inverse,Right-sized,systemic,Inverse
Public-key,Decentralized,solution,Exclusive
archive,De-engineered,exuding,context-sensitive
Stand-alone,definition,function,concept
next generation,focus group,service-desk,archive
Streamlined,Realigned,5th generation,productivity
Open-source,Proactive,leverage,conglomeration
Operative,Multi-tiered,Upgradable,well-modulated
User-centric,eco-centric,well-modulated,Customizable
Right-sized,groupware,system engine,Extended
monitoring,client-driven,Graphical User Interface,real-time
local,Cross-platform,application,contingency
knowledge user,open architecture,Horizontal,utilisation
grid-enabled,exuding,parallelism,national
maximized,24 hour,Assimilated,implementation
zero administration,strategy,circuit,responsive
array,bi-directional,hardware,Business-focused
data-warehouse,reciprocal,incremental,moratorium
24 hour,portal,real-time,Self-enabling
Cross-platform,Seamless,Cloned,Mandatory
Innovative,parallelism,alliance,intangible
Re-contextualized,portal,modular,intangible
structure,intermediate,approach,functionalities
architecture,Switchable,system engine,Polarised
focus group,eco-centric,Enterprise-wide,Automated
array,executive,User-centric,heuristic
Robust,array,needs-based,model
cohesive,De-engineered,hybrid,actuating
Face to face,Down-sized,Stand-alone,systematic
5th generation,Front-line,frame,benchmark
Devolved,bi-directional,groupware,Progressive
Object-based,knowledge user,intermediate,systemic
value-added,Re-engineered,zero administration,conglomeration
synergy,flexibility,Distributed,mobile
adapter,solution,Ergonomic,instruction set
De-engineered,object-oriented,uniform,zero tolerance
4th generation,Reverse-engineered,Ameliorated,exuding
non-volatile,methodical,protocol,fault-tolerant
Switchable,Horizontal,system-worthy,framework
benchmark,Synergized,benchmark,Multi-layered
heuristic,Stand-alone,customer loyalty,Optimized
core,adapter,homogeneous,Extended
contingency,upward-trending,Configurable,encoding
mission-critical,didactic,monitoring,executive
static,Reduced,systemic,policy
toolset,Networked,Multi-tiered,moderator
contextually-based,framework,system engine,exuding
parallelism,asymmetric,project,Grass-roots
Phased,Total,artificial intelligence,system engine
Devolved,dedicated,Vision-oriented,User-centric
matrix,Phased,synergy,Secured
success,mobile,bifurcated,Multi-channelled
superstructure,homogeneous,pricing structure,Multi-tiered
Cross-platform,tertiary,Horizontal,framework
middleware,Grass-roots,frame,zero defect
Multi-channelled,composite,Configurable,Integrated
encoding,object-oriented,methodical,infrastructure
collaboration,explicit,frame,Extended
solution-oriented,Re-engineered,Re-contextualized,fault-tolerant
well-modulated,Visionary,client-driven,transitional
moratorium,methodology,Phased,synergy
analyzer,Versatile,uniform,holistic
heuristic,project,Graphic Interface,strategy
real-time,moderator,Decentralized,incremental
firmware,Managed,user-facing,Self-enabling
Function-based,Implemented,web-enabled,zero administration
Advanced,initiative,success,success
optimal,neutral,motivating,global
eco-centric,Public-key,migration,Networked
Function-based,product,Robust,utilisation
application,optimizing,fresh-thinking,flexibility
high-level,Optional,concept,task-force
projection,Organic,national,Object-based
contingency,complexity,system-worthy,radical
mission-critical,utilisation,Reactive,Upgradable
Advanced,Open-architected,open architecture,secured line
grid-enabled,adapter,ability,challenge
initiative,well-modulated,grid-enabled,artificial intelligence
algorithm,zero defect,core,Face to face
global,zero tolerance,Customer-focused,Optional
customer loyalty,Multi-channelled,Stand-alone,Focused
Innovative,product,architecture,service-desk
value-added,synergy,cohesive,concept
secondary,leading edge,client-server,contingency
moderator,Object-based,knowledge user,Progressive
Upgradable,Multi-layered,intermediate,Centralized
Pre-emptive,task-force,intranet,framework
bottom-line,bottom-line,Organized,infrastructure
collaboration,framework,project,asymmetric
customer loyalty,eco-centric,Reverse-engineered,application
Down-sized,value-added,paradigm,portal
bi-directional,moderator,algorithm,Synchronised
application,Visionary,Advanced,Configurable
Synchronised,Face to face,emulation,concept
ability,circuit,background,algorithm
conglomeration,database,Function-based,frame
Programmable,eco-centric,didactic,Multi-lateral
exuding,website,solution,Optimized
stable,Streamlined,throughput,fresh-thinking
Open-architected,secured line,directional,intangible
alliance,architecture,Down-sized,reciprocal
bandwidth-monitored,Re-engineered,open architecture,instruction set
Enhanced,open architecture,leading edge,homogeneous
standardization,Advanced,monitoring,complexity
challenge,ability,responsive,didactic
multi-tasking,encompassing,Graphic Interface,time-frame
